#Temperature (K)	a0 (Å)
0	11.85790955
10	11.85803568
20	11.85849158
30	11.85926935
40	11.86036217
50	11.86180613
60	11.86364861
70	11.8659234
80	11.86864415
90	11.87180708
100	11.87539687
110	11.879393
120	11.88377317
130	11.88851653
140	11.89360485
150	11.89902196
160	11.90475641
170	11.91079691
180	11.91713739
190	11.92377079
200	11.930694
210	11.93790315
220	11.94539654
230	11.95317298
240	11.96123108
250	11.96957147
260	11.97819482
270	11.98710037
280	11.99628995
290	12.0057644
300	12.01552519
