#Pressure(GPa) Temperature(K) Cell Bulk_Modulus(GPa) Thermal_Expansion(1/K)
0.000000 0.0 1.185791e+01 9.233473 0.000000e+00
0.000000 10.0 1.185804e+01 9.232013 1.063739e-06
0.000000 20.0 1.185849e+01 9.225969 3.844611e-06
0.000000 30.0 1.185927e+01 9.213568 6.559126e-06
0.000000 40.0 1.186036e+01 9.193679 9.215979e-06
0.000000 50.0 1.186181e+01 9.165608 1.217717e-05
0.000000 60.0 1.186365e+01 9.129197 1.553799e-05
0.000000 70.0 1.186592e+01 9.084815 1.918372e-05
0.000000 80.0 1.186864e+01 9.033184 2.294460e-05
0.000000 90.0 1.187181e+01 8.975180 2.667364e-05
0.000000 100.0 1.187540e+01 8.911682 3.027336e-05
0.000000 110.0 1.187939e+01 8.843479 3.370010e-05
0.000000 120.0 1.188377e+01 8.771239 3.693882e-05
0.000000 130.0 1.188852e+01 8.695501 4.000166e-05
0.000000 140.0 1.189360e+01 8.616692 4.291073e-05
0.000000 150.0 1.189902e+01 8.535151 4.568352e-05
0.000000 160.0 1.190476e+01 8.451131 4.835970e-05
0.000000 170.0 1.191080e+01 8.364851 5.094071e-05
0.000000 180.0 1.191714e+01 8.276467 5.347047e-05
0.000000 190.0 1.192377e+01 8.186126 5.594068e-05
0.000000 200.0 1.193069e+01 8.093945 5.838477e-05
0.000000 210.0 1.193790e+01 8.000032 6.079614e-05
0.000000 220.0 1.194540e+01 7.904480 6.319315e-05
0.000000 230.0 1.195317e+01 7.807384 6.558025e-05
0.000000 240.0 1.196123e+01 7.708830 6.795548e-05
0.000000 250.0 1.196957e+01 7.608897 7.033604e-05
0.000000 260.0 1.197819e+01 7.507666 7.272237e-05
0.000000 270.0 1.198710e+01 7.405213 7.510217e-05
0.000000 280.0 1.199629e+01 7.301621 7.749752e-05
0.000000 290.0 1.200576e+01 7.196952 7.989979e-05
0.000000 300.0 1.201553e+01 7.091289 8.231463e-05
0.250000 0.0 1.175928e+01 10.037771 0.000000e+00
0.250000 10.0 1.175939e+01 10.036077 9.101097e-07
0.250000 20.0 1.175977e+01 10.029492 3.266609e-06
0.250000 30.0 1.176041e+01 10.016569 5.450661e-06
0.250000 40.0 1.176130e+01 9.996356 7.502453e-06
0.250000 50.0 1.176245e+01 9.968201 9.797736e-06
0.250000 60.0 1.176391e+01 9.931900 1.246147e-05
0.250000 70.0 1.176573e+01 9.887756 1.541661e-05
0.250000 80.0 1.176790e+01 9.836428 1.852215e-05
